id,title,price,category,rating,image
29,Juice,3.99,groceries,3.94,https://cdn.dummyjson.com/product-images/groceries/juice/1.webp
30,Kiwi,2.49,groceries,4.93,https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp
9,Classic Navy Blue Baseball Cap,64.0,Ropa,3.0,https://i.imgur.com/R3iobJA.jpeg
10,Classic Blue Baseball Cap,86.0,Ropa,3.0,https://i.imgur.com/wXuQ7bm.jpeg
11,Classic Red Baseball Cap,35.0,Ropa,3.0,https://i.imgur.com/cBuLvBi.jpeg
12,Classic Black Baseball Cap,58.0,Ropa,3.0,https://i.imgur.com/KeqG6r4.jpeg
14,Classic High-Waisted Athletic Shorts,43.0,Ropa,3.0,https://i.imgur.com/eGOUveI.jpeg
16,Classic White Tee - Timeless Style and Comfort,73.0,Ropa,3.0,https://i.imgur.com/Y54Bt8J.jpeg
17,Classic Black T-Shirt,35.0,Ropa,3.0,https://i.imgur.com/9DqEOV5.jpeg
18,Sleek White & Orange Wireless Gaming Controller,69.0,Electronics,3.0,https://i.imgur.com/ZANVnHE.jpeg
19,Sleek Wireless Headphone & Inked Earbud Set,44.0,Electronics,3.0,https://i.imgur.com/yVeIeDa.jpeg
20,Sleek Comfort-Fit Over-Ear Headphones,28.0,Electronics,3.0,https://i.imgur.com/SolkFEB.jpeg
22,Sleek Wireless Computer Mouse,10.0,Electronics,3.0,https://i.imgur.com/w3Y8NwQ.jpeg
23,Sleek Modern Laptop with Ambient Lighting,43.0,Electronics,3.0,https://i.imgur.com/OKn1KFI.jpeg
24,Sleek Modern Laptop for Professionals,97.0,Electronics,3.0,https://i.imgur.com/ItHcq7o.jpeg
25,Stylish Red & Silver Over-Ear Headphones,39.0,Electronics,3.0,https://i.imgur.com/YaSqa06.jpeg
27,Sleek Smartwatch with Vibrant Display,16.0,Electronics,3.0,https://i.imgur.com/LGk9Jn2.jpeg
28,Sleek Modern Leather Sofa,53.0,Furniture,3.0,https://i.imgur.com/Qphac99.jpeg
29,Mid-Century Modern Wooden Dining Table,24.0,Furniture,3.0,https://i.imgur.com/DMQHGA0.jpeg
30,Elegant Golden-Base Stone Top Dining Table,66.0,Furniture,3.0,https://i.imgur.com/NWIJKUj.jpeg
31,Modern Elegance Teal Armchair,25.0,Furniture,3.0,https://i.imgur.com/6wkyyIN.jpeg
32,Elegant Solid Wood Dining Table,67.0,Furniture,3.0,https://i.imgur.com/4lTaHfF.jpeg
33,Modern Minimalist Workstation Setup,49.0,Furniture,3.0,https://i.imgur.com/3oXNBst.jpeg
34,Modern Ergonomic Office Chair,71.0,Furniture,3.0,https://i.imgur.com/3dU0m72.jpeg
35,Futuristic Holographic Soccer Cleats,39.0,Shoes,3.0,https://i.imgur.com/qNOjJje.jpeg
36,Rainbow Glitter High Heels,39.0,Shoes,3.0,https://i.imgur.com/62gGzeF.jpeg
37,Chic Summer Denim Espadrille Sandals,33.0,Shoes,3.0,https://i.imgur.com/9qrmE1b.jpeg
38,Vibrant Runners: Bold Orange & Blue Sneakers,27.0,Shoes,3.0,https://i.imgur.com/hKcMNJs.jpeg
40,Futuristic Silver and Gold High-Top Sneaker,68.0,Shoes,3.0,https://i.imgur.com/npLfCGq.jpeg
44,Classic Blue Suede Casual Shoes,39.0,Shoes,3.0,https://i.imgur.com/sC0ztOB.jpeg
45,Sleek Futuristic Electric Bicycle,22.0,Miscellaneous,3.0,https://i.imgur.com/BG8J0Fj.jpg
46,Sleek All-Terrain Go-Kart,37.0,Miscellaneous,3.0,https://i.imgur.com/Ex5x3IU.jpg
47,Radiant Citrus Eau de Parfum,73.0,Miscellaneous,3.0,https://i.imgur.com/xPDwUb3.jpg
48,Sleek Olive Green Hardshell Carry-On Luggage,48.0,Miscellaneous,3.0,https://i.imgur.com/jVfoZnP.jpg
49,Chic Transparent Fashion Handbag,61.0,Miscellaneous,3.0,https://i.imgur.com/Lqaqz59.jpg
50,Trendy Pink-Tinted Sunglasses,38.0,Miscellaneous,3.0,https://i.imgur.com/0qQBkxX.jpg
51,Elegant Glass Tumbler Set,50.0,Miscellaneous,3.0,https://i.imgur.com/TF0pXdL.jpg
52,string,100.0,string,3.0,https://pravatar.cc/
53,Devon.Murazik,10.0,string,3.0,https://placehold.co/600x400
54,modern chair,90.0,Furniture,3.0,https://i.pinimg.com/736x/34/7a/69/347a696e924dd4a6d18ffc850655ead5.jpg
55,gamebord,89.0,Electronics,3.0,https://i.imgur.com/ZANVnHE.jpeg
56,jam,78.0,Electronics,3.0,https://i.imgur.com/PTgQlim.png
57,Classic Olive Chino Shorts,89.0,Electronics,3.0,https://i.imgur.com/0KlqHu9.jpeg
58,A sample Product 2658.4561479446343,10.0,Ropa,3.0,https://placeimg.com/640/480/any
59,A sample Product 1661.3273239219673,10.0,Ropa,3.0,https://placeimg.com/640/480/any
63,New Product,10.0,Ropa,3.0,https://placehold.co/600x400
65,Sample Productsasawsdss,20.0,Electronics,3.0,https://placehold.co/600x400
66,test product,100.0,Electronics,3.0,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_t.png
67,user_1761894049830,10.0,Ropa,3.0,https://placehold.co/600x400
69,A Test Product from a QA Candidate Akhila T,100.0,Ropa,3.0,https://placeimg.com/640/480/any
83,Another Test Product 67890,49.0,Electronics,3.0,https://i.imgur.com/ZANVnHE.jpeg
100,New Cotton Shirt2,1100.0,Ropa,3.0,https://placeimg.com/640/480/cotton
101,Mobile Phones,10.0,Ropa,3.0,https://placeimg.com/640/480/any
128,A Test Product from a QA Candidate Rajas Pitale,100.0,Ropa,3.0,https://placeimg.com/640/480/any
